Song Name,End Time,Artist Name
Junoon,02/01/24 10:08,Mitraz
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",02/01/24 10:08,Vishal Mishra
Guli Mata,02/01/24 10:12,Saad Lamjarred
First Class (Kalank),02/01/24 10:16,Pritam
Heroine,02/01/24 10:17,Neelkamal Singh
Zakir,02/01/24 10:20,NAALAYAK
Rehnuma,02/01/24 10:24,Shreya Ghoshal
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",02/01/24 10:29,Vishal Mishra
Boyfriend,02/01/24 10:32,Justin Bieber
Boyfriend,02/01/24 10:32,Justin Bieber
Boyfriend,02/01/24 10:35,Justin Bieber
